id,airline,destination,phone
3040,AMERICAN,DALLAS-FT. WORTH,(603) 149-7268
844,ALASKA,PORTLAND,(364) 792-5553
881,ALASKA,RALEIGH-DURHAM,496-429-1314
2409,AIR NEW ZEALAND,AUCKLAND,459 671 4698
1527,ALASKA,LOS ANGELES,486-268-3312
1195,SOUTHWEST,LAS VEGAS,497-518-4050
1042,AIR CANADA,CALGARY,(535) 685-8273
2957,AMERICAN,NEW YORK-JFK,859 495 4050
2380,UNITED INTL,SYDNEY,(826) 738-8316
102,UNITED,WASHINGTON DC-DULLES,724-134-3870
2486,UNITED,NEWARK,(554) 269-8937
342,LUFTHANSA,FRANKFURT,125-578-4253
1808,UNITED INTL,LONDON HEATHROW,614 800 2861
322,UNITED,BURBANK,487-232-4449
1090,DELTA,MINNEAPOLIS-ST. PAUL,(298) 135-0900
2211,SOUTHWEST,PHOENIX,(392) 183-7831
1555,DELTA,ATLANTA,(606) 596-1029
2249,UNITED,BAKERSFIELD,(384) 953-4795
879,ALASKA,RALEIGH-DURHAM,(855) 811-8811
546,ALASKA,SEATTLE,253-374-7102
2956,AMERICAN,NEW YORK-JFK,(419) 295-9580
1439,FRONTIER,DENVER,802 102 8345
243,UNITED,NASHVILLE,417 393 0050
889,AIR CANADA,TORONTO,787-624-8443
1566,DELTA,DETROIT,(919) 486-4251
104,UNITED,WASHINGTON DC-DULLES,341 824 5322
2338,UNITED,AUSTIN,415 551 1608
1585,DELTA,SALT LAKE CITY,(392) 495-7961
326,UNITED,BURBANK,473-238-3324
2670,SOUTHWEST,DENVER,(506) 760-3043
869,ALASKA,SEATTLE,876-834-0624
279,UNITED,BALTIMORE,919 611 6170
3201,UNITED,ONTARIO (CALIF),(146) 699-3488
1363,UNITED INTL,PARIS-DE GAULLE,261 434 7760
1365,UNITED INTL,PARIS-DE GAULLE,617 310 2684
1504,DELTA,LOS ANGELES,182-535-3412
745,AIR CANADA,TORONTO,506 129 1694
2765,WOW,REYKJAVIK,(302) 339-0791
272,UNITED,LOS ANGELES,(446) 229-4342
1360,UNITED INTL,PARIS-DE GAULLE,(249) 602-6985
3046,AMERICAN,LOS ANGELES,(150) 905-6938
2088,AMERICAN,PHOENIX,313 990 8823
670,AIR FRANCE/KLM,PARIS-DE GAULLE,656-941-5355
2673,AIR FRANCE/KLM,PARIS-DE GAULLE,(116) 689-6617
2252,UNITED,LOS ANGELES,955 324 5981
2677,AIR FRANCE/KLM,PARIS-DE GAULLE,175 808 2189
750,AIR CANADA,TORONTO,(896) 993-8555
938,AIR CANADA,VANCOUVER,105-687-6500
1958,CATHAY PACIFIC,HONG KONG,757 524 2964
2834,UNITED,CHICAGO-O'HARE,201 374 2424
1458,FRONTIER,DENVER,(466) 912-8401
2229,SOUTHWEST,SANTA ANA,766 112 6143
327,UNITED,BURBANK,783-463-4865
2179,QANTAS,SYDNEY,853-803-9900
1487,HAWAIIAN AIR,HONOLULU,(347) 851-5388
1507,DELTA,LOS ANGELES,992 114 6973
402,UNITED,HOUSTON-BUSH,316-212-7309
949,ALASKA,NEW YORK-JFK,301 672 1092
1,SOUTHWEST,SAN DIEGO,795 137 0201
893,AIR CANADA,TORONTO,381-883-5497
2180,QANTAS,SYDNEY,100-531-4642
1858,UNITED,LOS ANGELES,994 923 6634
2001,AIR FRANCE/KLM,PARIS-DE GAULLE,920 355 8404
1454,UNITED,LAS VEGAS,(441) 445-6532
2389,UNITED INTL,BEIJING,325 795 2455
2059,AMERICAN,PHILADELPHIA,593 829 6250
419,UNITED,INDIANAPOLIS,566-482-9004
1276,CHINA SOUTHERN,WUHAN,542 537 6770
1434,FRONTIER,DENVER,716 191 1741
2181,QANTAS,SYDNEY,491-727-7162
3043,AMERICAN,DALLAS-FT. WORTH,167-336-5660
2548,JETBLUE,BOSTON,358 831 0725
2703,UNITED,CHICAGO-O'HARE,432 979 7292
2533,JETBLUE,LONG BEACH,(205) 382-5599
2904,TURKISH AIRLINES,ISTANBUL,(208) 794-9612
2101,AMERICAN,PHOENIX,728 662 3934
2138,FRONTIER,DENVER,380-918-8572
2193,AER LINGUS,DUBLIN,(905) 742-3525
3047,AMERICAN,LOS ANGELES,151 434 6989
2845,UNITED,SEATTLE,755 544 2629
1957,CATHAY PACIFIC,HONG KONG,633 181 4494
1370,UNITED INTL,PARIS-DE GAULLE,346 706 5964
1427,UNITED,KANSAS CITY,688 690 2184
1975,CATHAY PACIFIC,HONG KONG,618 717 1697
469,ALASKA,PORTLAND,185-321-6877
3087,ALASKA,NEWARK,(147) 535-3529
2686,AIR FRANCE/KLM,PARIS-DE GAULLE,(152) 912-4118
1830,TURKISH AIRLINES,ISTANBUL,726 943 7486
318,UNITED,BURBANK,(634) 521-4714
2802,SOUTHWEST,PHOENIX,670-248-0186
2182,QANTAS,SYDNEY,(121) 509-7306
2628,JETBLUE,NEW YORK-JFK,(105) 635-5212
2521,JETBLUE,LONG BEACH,(732) 168-0110
291,UNITED,SAN DIEGO,364 834 3150
2340,UNITED,AUSTIN,176 508 2778
1274,UNITED INTL,LONDON HEATHROW,120 941 0833
2356,JETBLUE,FT. LAUDERDALE,670 902 3199
2034,UNITED,NEWARK,(214) 250-8756
965,LUFTHANSA,MUNICH,(119) 975-8484
2835,UNITED,CHICAGO-O'HARE,297 484 3285
1197,SOUTHWEST,LAS VEGAS,(489) 534-6272
325,UNITED,BURBANK,(610) 716-5732
846,ALASKA,PORTLAND,(456) 925-4236
2239,SOUTHWEST,PHOENIX,743-103-7645
1329,UNITED INTL,SHANGHAI,432-281-3682
1588,UNITED INTL,HONG KONG,(167) 144-9470
2683,AIR FRANCE/KLM,PARIS-DE GAULLE,648 685 6188
2844,UNITED,SEATTLE,548 191 4898
2240,SOUTHWEST,PHOENIX,288 110 9483
1981,AIR FRANCE/KLM,AMSTERDAM,946-558-5801
1007,AIR CANADA,VANCOUVER,388 744 9637
1373,UNITED INTL,SHANGHAI,506 463 9129
1851,ALASKA,KAHULUI,(848) 149-5208
2226,SOUTHWEST,SANTA ANA,(970) 908-2298
2248,UNITED,LOS ANGELES,(843) 120-5653
849,ALASKA,PORTLAND,306 394 8640
1896,UNITED,BOSTON,170-641-3537
1489,HAWAIIAN AIR,HONOLULU,860 723 5066
2183,QANTAS,SYDNEY,814-895-6610
297,UNITED,SAN DIEGO,(139) 727-9901
2903,TURKISH AIRLINES,ISTANBUL,598 735 8557
845,AMERICAN,DALLAS-FT. WORTH,593 895 6761
2418,UNITED,HONOLULU,(817) 824-3849
516,AIR FRANCE/KLM,PARIS-DE GAULLE,508 484 9738
1914,AIR FRANCE/KLM,PARIS-DE GAULLE,719 489 4724
2002,AIR FRANCE/KLM,PARIS-DE GAULLE,503-671-4901
3102,COPA,PANAMA CITY,275 649 8183
2843,UNITED,SEATTLE,968 130 7012
1372,UNITED INTL,PARIS-DE GAULLE,290 367 6676
252,AIR CANADA,TORONTO,499 766 9941
2379,UNITED INTL,BEIJING,538-393-2243
1327,UNITED INTL,SHANGHAI,(540) 362-7136
664,UNITED,NEWARK,(802) 910-1742
2550,UNITED,CHICAGO-O'HARE,845 544 4748
1523,JETBLUE,NEW YORK-JFK,784-458-8425
2292,WOW,REYKJAVIK,(365) 217-0634
1546,AIR CHINA,BEIJING,708 500 2758
1161,DELTA,NEW YORK-JFK,(594) 797-7729
837,AMERICAN,DALLAS-FT. WORTH,982 555 9504
103,UNITED,WASHINGTON DC-DULLES,477-307-3338
2254,UNITED,LOS ANGELES,744-301-1148
1764,AMERICAN,CHICAGO-O'HARE,389 484 8888
2158,CHINA EASTERN,QINGDAO,739 303 6128
2557,UNITED,CHICAGO-O'HARE,175 905 9962
2383,UNITED INTL,SYDNEY,(900) 462-1379
842,AMERICAN,DALLAS-FT. WORTH,878-636-2294
413,UNITED,PHOENIX,(998) 692-1900
401,UNITED,HOUSTON-BUSH,994 421 8642
2569,INTERJET,GUADALAJARA,304-225-5895
2803,SOUTHWEST,PHOENIX,931-522-5498
293,UNITED,SAN DIEGO,838 898 2275
1509,DELTA,LOS ANGELES,718 187 7125
1192,SOUTHWEST,LAS VEGAS,943 561 8955
191,AMERICAN,LOS ANGELES,341 261 6456
1558,DELTA,ATLANTA,(507) 483-3618
1447,FRONTIER,DENVER,826 266 0205
3061,COPA,PANAMA CITY,(380) 449-7849
886,ALASKA,RALEIGH-DURHAM,589-975-0198
330,ALASKA,SAN DIEGO,657 680 8781
1462,FRONTIER,DENVER,501-668-7869
2746,DELTA,ATLANTA,224 365 8299
3206,UNITED,EUGENE,747 588 1968
741,ALASKA,NEW YORK-JFK,(706) 836-7047
2299,UNITED,SAN ANTONIO,(698) 462-6742
3,SOUTHWEST,LOS ANGELES,748 446 1257
271,UNITED,LOS ANGELES,525-552-4162
1452,UNITED,LAS VEGAS,635-714-8302
3041,AMERICAN,DALLAS-FT. WORTH,114 668 2834
2543,UNITED,CHICAGO-O'HARE,404 788 2855
576,JETBLUE,BOSTON,673 292 2444
1584,DELTA,SALT LAKE CITY,136 788 1426
1133,SOUTHWEST,LOS ANGELES,564 677 3934
2191,AER LINGUS,DUBLIN,213 981 7762
2112,AMERICAN,PHOENIX,453-556-0852
866,ALASKA,SEATTLE,423 593 4483
3122,DELTA,SALT LAKE CITY,820 609 7454
2456,UNITED,DENVER,131-641-1331
847,AMERICAN,DALLAS-FT. WORTH,824 540 9579
2659,SOUTHWEST,DENVER,(753) 726-0123
3208,AMERICAN,LOS ANGELES,739 737 9041
2846,UNITED,SEATTLE,609-332-7370
963,LUFTHANSA,MUNICH,426-182-1365
2537,UNITED,CHICAGO-O'HARE,(347) 782-5787
615,ALASKA,WASHINGTON DC-DULLES,898-210-6218
1173,SOUTHWEST,LAS VEGAS,938 394 0411
2652,SOUTHWEST,DENVER,904 844 1759
2195,SOUTHWEST,LAS VEGAS,658-861-4306
2453,UNITED,DENVER,(716) 184-1232
323,UNITED,BURBANK,380-105-1757
748,AIR CANADA,TORONTO,(969) 555-0453
840,AMERICAN,DALLAS-FT. WORTH,249 452 4370
2451,ALASKA,SALT LAKE CITY,443 384 8253
1429,UNITED,KANSAS CITY,711 289 2247
241,UNITED,NASHVILLE,343-973-0193
2458,ALASKA,SALT LAKE CITY,367 650 3720
1589,SOUTHWEST,LOS ANGELES,(265) 286-5671
2404,AIR FRANCE/KLM,PARIS-DE GAULLE,148 630 8560
1044,AIR CANADA,CALGARY,413-727-2672
1855,ALASKA,KAHULUI,(162) 332-5838
1178,SOUTHWEST,LAS VEGAS,(229) 604-7790
1009,AIR CANADA,VANCOUVER,(892) 301-0333
2192,SOUTHWEST,LAS VEGAS,148 501 5084
3091,ALASKA,NEWARK,564 780 8272
1266,CATHAY PACIFIC,HONG KONG,524 190 0899
3207,AMERICAN,LOS ANGELES,463 792 2782
1853,ALASKA,KAHULUI,(331) 472-8624
2134,FRONTIER,DENVER,522-286-5318
1569,DELTA,DETROIT,310 719 4550
2676,SOUTHWEST,DENVER,314-360-4288
1235,CHINA EASTERN,SHANGHAI,(301) 534-5754
1525,ALASKA,LOS ANGELES,822 271 5719
2189,AER LINGUS,DUBLIN,(341) 473-0639
5,SOUTHWEST,LOS ANGELES,(835) 882-3693
1529,ALASKA,LOS ANGELES,465-550-6610
1443,FRONTIER,DENVER,388 100 1482
2294,UNITED,SAN ANTONIO,(589) 194-0523
1368,UNITED INTL,PARIS-DE GAULLE,982 842 4913
1539,AIR CHINA,BEIJING,671 913 4563
3163,AMERICAN,DALLAS-FT. WORTH,144 468 5864
2421,UNITED,HONOLULU,194 344 4039
2411,AIR NEW ZEALAND,AUCKLAND,331 747 5714
2381,UNITED INTL,BEIJING,221-190-1449
1047,AIR CANADA,CALGARY,(322) 843-0185
2590,INTERJET,GUADALAJARA,676-614-9095
1586,UNITED INTL,HONG KONG,(190) 975-2514
2621,AEROMEXICO,MEXICO CITY,(909) 382-3774
277,UNITED,BALTIMORE,956 257 9319
1239,UNITED INTL,TOKYO-NARITA,362 145 8268
375,ALASKA,LOS ANGELES,570 727 3998
2290,WOW,REYKJAVIK,225 964 9193
2288,UNITED,SAN ANTONIO,227 419 9482
618,ALASKA,WASHINGTON DC-DULLES,949 360 7605
1040,AIR CANADA,CALGARY,(347) 896-3463
2145,AIR CANADA,VANCOUVER,794 939 9735
1795,ALASKA,RALEIGH-DURHAM,413 754 3034
387,ALASKA,INDIANAPOLIS,806 730 0459
2789,DELTA,SALT LAKE CITY,791 195 8909
1095,SOUTHWEST,SAN DIEGO,691-318-3535
2111,UNITED INTL,MEXICO CITY,852-386-6029
2777,DELTA,ATLANTA,380 682 7795
662,UNITED,NEWARK,(355) 550-1392
1176,SOUTHWEST,LAS VEGAS,247 586 4579
1470,AVIANCA,SAN SALVADOR,235 257 1041
2391,UNITED INTL,BEIJING,(705) 456-1905
2573,INTERJET,GUADALAJARA,106 756 2785
3058,AMERICAN,MIAMI,(836) 207-8419
1100,SOUTHWEST,SAN DIEGO,(306) 552-1875
6,SOUTHWEST,LOS ANGELES,729-102-7511
1825,UNITED INTL,LONDON HEATHROW,795 583 0958
2926,SOUTHWEST,SAN DIEGO,700-431-3918
384,ALASKA,INDIANAPOLIS,929 632 1068
1942,UNITED,BOSTON,763 906 2495
2943,SOUTHWEST,LOS ANGELES,469 976 6796
2149,AIR CANADA,VANCOUVER,887-657-4143
954,ALASKA,NEW YORK-JFK,574-438-5329
1103,SOUTHWEST,SAN DIEGO,319 127 9518
400,UNITED,PHOENIX,429 960 9710
2454,UNITED,CHICAGO-O'HARE,419 646 0299
2236,SOUTHWEST,PHOENIX,192 343 8515
296,UNITED,SAN DIEGO,521 336 8581
1564,DELTA,DETROIT,776 367 6109
3070,UNITED,SPOKANE,470 367 1392
2524,JETBLUE,BOSTON,(944) 189-7555
2836,UNITED,CHICAGO-O'HARE,998-931-4783
270,UNITED,LOS ANGELES,362-178-6307
3060,AMERICAN,MIAMI,(458) 404-9558
1431,FRONTIER,DENVER,212 286 7936
3012,UNITED,PORTLAND,(481) 522-1039
1485,HAWAIIAN AIR,HONOLULU,(376) 611-4588
3264,UNITED,SAN DIEGO,936 193 9690
2000,UNITED,NEWARK,(641) 544-6549
100,UNITED,WASHINGTON DC-DULLES,797-870-7818
2891,UNITED,AUSTIN,693 907 5353
303,SOUTHWEST,LOS ANGELES,332 973 4943
1379,UNITED INTL,SHANGHAI,929 622 9077
1810,UNITED INTL,LONDON HEATHROW,649-379-5361
2482,ALASKA,SALT LAKE CITY,(572) 748-6932
2640,JETBLUE,NEW YORK-JFK,395-892-5646
3262,UNITED,SAN DIEGO,221-628-9561
2031,BRITISH AIRWAYS,LONDON HEATHROW,(227) 801-6148
2700,UNITED,ORLANDO,549-649-1864
2035,BRITISH AIRWAYS,LONDON HEATHROW,342 941 0439
3066,COPA,PANAMA CITY,701 390 9814
3074,COPA,PANAMA CITY,(519) 573-6576
2014,BRITISH AIRWAYS,LONDON HEATHROW,919-342-0230
2036,BRITISH AIRWAYS,LONDON HEATHROW,364-759-2705
2244,WOW,REYKJAVIK,949 543 7906
1695,ALASKA,SANTA ANA,942 732 6403
3089,UNITED,SPOKANE,(900) 586-1787
2920,DELTA,SEATTLE,308-607-9855
958,AIR CANADA,VANCOUVER,764 645 5740
2284,WOW,REYKJAVIK,472-337-8838
1181,SOUTHWEST,LAS VEGAS,791 847 7278
830,ALASKA,NASHVILLE,128 805 3828
2732,AIR FRANCE/KLM,PARIS-DE GAULLE,365-832-0674
1428,UNITED,LAS VEGAS,123-282-3494
3039,UNITED,PORTLAND,285 424 4318
2251,WOW,REYKJAVIK,452 352 1387
725,AIR FRANCE/KLM,PARIS-DE GAULLE,129-377-8159
2425,AIR NEW ZEALAND,AUCKLAND,222 143 3131
2909,DELTA,SEATTLE,162-451-0594
728,CATHAY PACIFIC,HONG KONG,(239) 325-5321
2171,FRONTIER,DENVER,436-422-6171
506,ALASKA,PORTLAND,605 284 4260
2592,AEROMEXICO,MEXICO CITY,929-102-5905
3258,UNITED,SAN DIEGO,847 507 8268
2046,BRITISH AIRWAYS,LONDON HEATHROW,452-811-8088
2736,AIR FRANCE/KLM,PARIS-DE GAULLE,799 143 1677
820,ALASKA,PORTLAND,196 756 4555
649,UNITED INTL,MUNICH,119-444-0817
2319,QANTAS,SYDNEY,885 454 0883
1864,UNITED,LOS ANGELES,945-998-0444
2689,AIR FRANCE/KLM,PARIS-DE GAULLE,(367) 897-7969
1028,AIR CANADA,VANCOUVER,163 241 9321
1441,UNITED,LAS VEGAS,594-176-5811
2602,INTERJET,GUADALAJARA,(621) 874-9973
2030,BRITISH AIRWAYS,LONDON HEATHROW,332 963 4103
2214,SOUTHWEST,PHOENIX,389 318 3975
2281,QANTAS,SYDNEY,894-593-7953
1658,EMIRATES,DUBAI,561-266-7842
370,ALASKA,SAN JOSE DEL CABO,354-958-8052
2117,JETBLUE,LONG BEACH,151 921 2775
498,ALASKA,PORTLAND,901 140 3759
1416,UNITED,LAS VEGAS,(426) 342-7378
2122,CATHAY PACIFIC,HONG KONG,333-520-4811
2322,QANTAS,SYDNEY,(765) 191-1797
2215,AER LINGUS,DUBLIN,850 914 9348
901,AIR CANADA,TORONTO,246 272 9019
1193,SOUTHWEST,LAS VEGAS,(400) 250-0871
2900,WOW,REYKJAVIK,504 419 9191
2939,SOUTHWEST,SAN DIEGO,(434) 725-0561
987,LUFTHANSA,MUNICH,231 863 7554
2038,BRITISH AIRWAYS,LONDON HEATHROW,(969) 207-3261
3019,UNITED,PORTLAND,939 253 9048
478,UNITED,DENVER,879-154-4494
2366,UNITED,AUSTIN,577 786 2546
220,AMERICAN,LOS ANGELES,(994) 688-3259
1353,UNITED INTL,SHANGHAI,841-717-4447
192,AMERICAN,LOS ANGELES,397-353-6309
1967,CATHAY PACIFIC,HONG KONG,558 191 4548
1984,AIR FRANCE/KLM,AMSTERDAM,905 768 2297
2740,AIR FRANCE/KLM,PARIS-DE GAULLE,348 522 2051
2187,QANTAS,SYDNEY,307-323-6861
872,AMERICAN,DALLAS-FT. WORTH,663 886 2487
617,ALASKA,NEWARK,274 944 6097
1678,CATHAY PACIFIC,HONG KONG,(494) 308-3048
1898,LUFTHANSA,MUNICH,328 307 0875
1706,AIR FRANCE/KLM,PARIS-DE GAULLE,673 524 3504
2198,CATHAY PACIFIC,HONG KONG,934 721 0615
667,UNITED,NEWARK,102-957-6486
1073,AIR CANADA,CALGARY,(715) 288-8832
2612,JETBLUE,BOSTON,794 925 8846
2698,AIR FRANCE/KLM,PARIS-DE GAULLE,637 281 4111
2298,QANTAS,SYDNEY,(594) 448-6242
2156,FRONTIER,DENVER,335 802 2651
286,UNITED,NASHVILLE,560 699 9908
601,JETBLUE,BOSTON,451 163 0102
1696,ALASKA,SANTA ANA,613 800 0835
2905,DELTA,SEATTLE,370 453 5800
2894,DELTA,SALT LAKE CITY,192 507 5411
346,LUFTHANSA,FRANKFURT,182-227-4838
1108,DELTA,MINNEAPOLIS-ST. PAUL,647 126 2332
2811,DELTA,LOS ANGELES,606 125 6957
681,AIR FRANCE/KLM,PARIS-DE GAULLE,728-404-5558
2615,AEROMEXICO,MEXICO CITY,506 812 6052
2434,AIR NEW ZEALAND,AUCKLAND,427-665-3475
1982,AIR FRANCE/KLM,AMSTERDAM,808 739 7162
1478,ALASKA,NEW YORK-JFK,375-978-3305
2490,UNITED,CHICAGO-O'HARE,181-708-2089
3200,CATHAY PACIFIC,HONG KONG,(802) 810-5574
3165,DELTA,LOS ANGELES,242-540-4234
1880,UNITED,BOSTON,105 116 9695
1759,LUFTHANSA,MUNICH,(867) 891-0871
2764,DELTA,ATLANTA,945 144 7892
2914,DELTA,SEATTLE,531 895 6695
3152,DELTA,SALT LAKE CITY,(533) 213-4368
3269,UNITED,LAS VEGAS,894 810 2674
502,ALASKA,PORTLAND,943 812 6349
683,AIR FRANCE/KLM,PARIS-DE GAULLE,476 168 4235
635,ALASKA,WASHINGTON DC-DULLES,931 385 6757
1328,UNITED INTL,KANSAI,(324) 188-6781
2869,UNITED,WASHINGTON DC-DULLES,100 378 8095
2262,UNITED,BAKERSFIELD,0244-5
1866,ALASKA,KAHULUI,397-362-5469
1990,AIR FRANCE/KLM,AMSTERDAM,(102) 928-7959
1356,UNITED INTL,KANSAI,(439) 568-6611
2511,ALASKA,SALT LAKE CITY,(767) 205-0604
2468,ALASKA,SALT LAKE CITY,(890) 548-9219
1686,CATHAY PACIFIC,HONG KONG,938 982 5585
2500,ALASKA,SALT LAKE CITY,769-472-2992
2305,QANTAS,SYDNEY,190 204 1154
453,ALASKA,LAS VEGAS,(649) 925-8489
1063,AIR CANADA,CALGARY,321 616 1013
2442,JETBLUE,BOSTON,(156) 837-4491
924,AIR CANADA,TORONTO,178-232-0815
2716,SOUTHWEST,DENVER,(882) 304-9032
1206,SOUTHWEST,LAS VEGAS,828 549 6666
360,ALASKA,NEWARK,280 544 4554
479,ALASKA,PORTLAND,183 208 5054
304,UNITED,SAN DIEGO,(971) 548-6611
2250,WOW,REYKJAVIK,(828) 153-5819
1414,UNITED,KANSAS CITY,203 448 1522
295,SOUTHWEST,LOS ANGELES,900-871-9056
2039,BRITISH AIRWAYS,LONDON HEATHROW,406-167-1379
2491,ALASKA,SALT LAKE CITY,(906) 850-9192
1255,UNITED INTL,TOKYO-NARITA,(859) 777-8245
2041,BRITISH AIRWAYS,LONDON HEATHROW,641-635-8466
1718,AIR FRANCE/KLM,PARIS-DE GAULLE,807-671-6158
2047,BRITISH AIRWAYS,LONDON HEATHROW,(589) 270-7518
2253,WOW,REYKJAVIK,768 529 8051
754,ALASKA,NEW YORK-JFK,220 660 0306
3235,AMERICAN,PHOENIX,928-179-7556
3204,CATHAY PACIFIC,HONG KONG,153 756 0278
551,EMIRATES,DUBAI,273 829 9197
1770,AMERICAN,CHICAGO-O'HARE,269 463 0911
2874,EVA AIR,TAIPEI,696 984 8826
2020,BRITISH AIRWAYS,LONDON HEATHROW,905-903-5258
2021,BRITISH AIRWAYS,LONDON HEATHROW,267 332 4709
2172,FRONTIER,DENVER,(146) 129-5118
1903,LUFTHANSA,MUNICH,(927) 747-9822
2023,BRITISH AIRWAYS,LONDON HEATHROW,534 216 6666
2139,FRONTIER,DENVER,(481) 479-7013
3106,ALASKA,NEWARK,971 175 2968
1404,UNITED INTL,PARIS-DE GAULLE,(716) 777-3762
2377,UNITED,AUSTIN,274-863-3205
3138,DELTA,SALT LAKE CITY,(217) 589-0596
773,UNITED INTL,SAN JOSE DEL CABO,928 445 5474
1545,DELTA,NEW YORK-JFK,858 990 5153
2892,WOW,REYKJAVIK,731-813-2043
2721,UNITED,KAHULUI,563-732-6802
819,ALASKA,PORTLAND,145 725 4021
3272,UNITED,LAS VEGAS,931 311 5801
841,ALASKA,SEATTLE,(637) 782-6989
253,AIR CANADA,TORONTO,172 990 3485
266,AIR CANADA,TORONTO,872 325 4341
2272,UNITED,BAKERSFIELD,(359) 803-9809
1196,SOUTHWEST,LAS VEGAS,152 790 8238
2363,UNITED,AUSTIN,330 561 9257
3181,DELTA,LOS ANGELES,437 420 7546
2918,DELTA,SEATTLE,495 632 4027
11,SOUTHWEST,LOS ANGELES,(416) 788-2844
904,AIR CANADA,TORONTO,311-305-4367
2937,SOUTHWEST,SAN DIEGO,817-400-0481
3143,DELTA,SALT LAKE CITY,430 723 1079
1167,DELTA,NEW YORK-JFK,(729) 609-4819
302,UNITED,SAN DIEGO,(201) 737-4409
1607,VIRGIN ATLANTIC,LONDON HEATHROW,(137) 611-3694
1758,LUFTHANSA,MUNICH,226 490 8696
1740,AIR CANADA,TORONTO,123 570 8640
265,AIR CANADA,TORONTO,665 803 2453
911,AIR CANADA,TORONTO,(812) 869-6263
3158,DELTA,SALT LAKE CITY,639 132 6386
1241,CHINA EASTERN,SHANGHAI,(194) 198-0504
1562,DELTA,ATLANTA,437 886 0753
2375,UNITED,AUSTIN,626 756 5089
